#Query	BLAST hit 1
ENSEBLP00005007605.1	CG4119-PB 
ENSEBLP00005015263.1	CG5664-PA 
ENSEBLP00005015270.1	CG5664-PA 
ENSEBLP00005015292.1	CG42673-PB 
ENSEBLP00005015297.1	CG42673-PD 
ENSEBLP00005015336.1	Ac78C-PC 
ENSEBLP00005015347.1	Ac78C-PC 
ENSEBLP00005015355.1	Ac78C-PC 
ENSEBLP00005015367.1	Ac78C-PC 
ENSEBLP00005015374.1	Ac78C-PC 
ENSEBLP00005015390.1	CG15877-PA 
ENSEBLP00005015408.1	sofe-PB 
ENSEBLP00005015415.1	sofe-PB 
ENSEBLP00005015472.1	Cyp40-PD 
ENSEBLP00005015481.1	Cyp40-PD 
ENSEBLP00005015491.1	Cyp40-PD 
ENSEBLP00005015499.1	CG13670-PA 
ENSEBLP00005015522.1	CG1146-PD 
ENSEBLP00005015528.1	CG1146-PD 
ENSEBLP00005015557.1	CG1233-PA 
ENSEBLP00005015562.1	CG1233-PA 
ENSEBLP00005015572.1	INPP5E-PB 
ENSEBLP00005015598.1	CG9641-PA 
ENSEBLP00005015604.1	Ac78C-PF 
ENSEBLP00005015605.1	CG2217-PD 
ENSEBLP00005015614.1	CG2217-PD 
ENSEBLP00005015618.1	Ac78C-PF 
ENSEBLP00005015631.1	CG9240-PA 
ENSEBLP00005015639.1	CG9240-PA 
ENSEBLP00005015649.1	Lmx1a-PC 
ENSEBLP00005015669.1	CG32100-PA 
ENSEBLP00005015675.1	CG32100-PA 
ENSEBLP00005015694.1	FMRFaR-PB 
ENSEBLP00005015732.1	Cubn2-PB 
ENSEBLP00005015742.1	Cubn2-PB 
ENSEBLP00005015757.1	Cubn2-PB 
ENSEBLP00005015782.1	l(3)72Dn-PA 
ENSEBLP00005015788.1	l(3)72Dn-PA 
ENSEBLP00005015813.1	CG4611-PA 
ENSEBLP00005015820.1	CG4611-PA 
ENSEBLP00005015890.1	mthl10-PA 
ENSEBLP00005015899.1	mthl10-PG 
ENSEBLP00005015904.1	mthl10-PA 
ENSEBLP00005015909.1	mthl10-PA 
ENSEBLP00005015921.1	CG9004-PA 
ENSEBLP00005015947.1	GV1-PB 
ENSEBLP00005015960.1	CG34461-PB 
ENSEBLP00005015977.1	Or92a-PA 
ENSEBLP00005015981.1	Or92a-PA 
ENSEBLP00005015983.1	CG12038-PA 
ENSEBLP00005015990.1	CG12038-PA 
ENSEBLP00005015994.1	CG12038-PA 
ENSEBLP00005015998.1	CG12038-PA 
ENSEBLP00005016004.1	CG12038-PA 
ENSEBLP00005016008.1	CG8993-PA 
ENSEBLP00005016009.1	CG8993-PA 
ENSEBLP00005016016.1	LanB2-PB 
ENSEBLP00005016029.1	CG1317-PD 
ENSEBLP00005016042.1	Cpr62Ba-PC 
ENSEBLP00005016053.1	Cnep1r2-PA 
ENSEBLP00005016057.1	Cnep1r2-PA 
ENSEBLP00005016067.1	sw-PI 
ENSEBLP00005016069.1	Tmc-PC 
ENSEBLP00005016100.1	Ptpmeg-PK 
ENSEBLP00005016103.1	Ptpmeg-PK 
ENSEBLP00005016135.1	Sms-PD 
ENSEBLP00005016142.1	Sms-PD 
ENSEBLP00005016149.1	Sms-PD 
ENSEBLP00005016153.1	Sms-PC 
ENSEBLP00005016156.1	Sms-PB 
ENSEBLP00005016167.1	IleRS-PD 
ENSEBLP00005016182.1	rgn-PD 
ENSEBLP00005016189.1	rgn-PD 
ENSEBLP00005016201.1	Prp5-PA 
ENSEBLP00005016219.1	CG33288-PC 
ENSEBLP00005016227.1	CG33288-PC 
ENSEBLP00005016236.1	Srp54-PA 
ENSEBLP00005016257.1	CG32486-PD 
ENSEBLP00005016265.1	CG32486-PD 
ENSEBLP00005016271.1	CG32486-PD 
ENSEBLP00005016283.1	Aef1-PB 
ENSEBLP00005016297.1	CG4328-PB 
ENSEBLP00005016313.1	Tmx3-PA 
ENSEBLP00005016326.1	CG34461-PB 
ENSEBLP00005016334.1	Cpr62Bc-PB 
ENSEBLP00005016367.1	Svil-PAD 
ENSEBLP00005016375.1	Svil-PAF 
ENSEBLP00005016381.1	Svil-PAF 
ENSEBLP00005016387.1	Svil-PAF 
ENSEBLP00005016399.1	Cdc5-PB 
ENSEBLP00005016415.1	Ilp1-PA 
ENSEBLP00005016443.1	CG7457-PB 
ENSEBLP00005016449.1	CG7457-PB 
ENSEBLP00005016454.1	CG7457-PB 
ENSEBLP00005016484.1	app-PR 
ENSEBLP00005016494.1	app-PR 
ENSEBLP00005016503.1	app-PR 
ENSEBLP00005016512.1	app-PR 
ENSEBLP00005016540.1	bol-PF 
ENSEBLP00005016548.1	bol-PF 
ENSEBLP00005016551.1	bol-PF 
ENSEBLP00005016557.1	bol-PA 
ENSEBLP00005016561.1	bol-PF 
ENSEBLP00005016568.1	bol-PA 
ENSEBLP00005016579.1	Ilp1-PA 
ENSEBLP00005016600.1	ThrRS-PC 
ENSEBLP00005016604.1	ThrRS-PD 
ENSEBLP00005016620.1	CG13775-PC 
ENSEBLP00005016653.1	Cubn2-PB 
ENSEBLP00005016670.1	Cubn2-PB 
ENSEBLP00005016693.1	CG17754-PE 
ENSEBLP00005016696.1	CG17754-PF 
ENSEBLP00005025576.1	IP3K1-PB 
ENSEBLP00005025600.1	kuz-PC 
ENSEBLP00005025605.1	vas-PC 
ENSEBLP00005025611.1	kuz-PF 
ENSEBLP00005025618.1	kuz-PC 
ENSEBLP00005025621.1	vas-PC 
ENSEBLP00005025626.1	vas-PC 
ENSEBLP00005025633.1	vas-PC 
ENSEBLP00005025636.1	Cog4-PA 
ENSEBLP00005025657.1	Rbp9-PJ 
ENSEBLP00005025667.1	hoip-PB 
ENSEBLP00005025686.1	beat-Ib-PB 
ENSEBLP00005025695.1	beat-Ib-PB 
ENSEBLP00005025704.1	beat-Ib-PB 
ENSEBLP00005025739.1	Apoltp-PC 
ENSEBLP00005025758.1	Apoltp-PC 
ENSEBLP00005025788.1	CG18528-PA 
ENSEBLP00005025791.1	CG18528-PA 
ENSEBLP00005025797.1	CG18528-PA 
ENSEBLP00005025814.1	pelo-PA 
ENSEBLP00005025868.1	Nup154-PD 
ENSEBLP00005025879.1	Nup154-PD 
ENSEBLP00005025891.1	Nup154-PD 
ENSEBLP00005025915.1	ppk18-PA 
ENSEBLP00005025944.1	SmB-PB 
ENSEBLP00005025963.1	Ndf-PC 
ENSEBLP00005025967.1	Ndf-PC 
ENSEBLP00005025985.1	Try29F-PD 
ENSEBLP00005025999.1	Lamp1-PA 
ENSEBLP00005026022.1	CG17633-PA 
ENSEBLP00005026032.1	CG17633-PA 
ENSEBLP00005026053.1	CG32982-PH 
ENSEBLP00005026060.1	CG32982-PG 
ENSEBLP00005026068.1	Kdm5-PF 
ENSEBLP00005026141.1	wwk-PE 
ENSEBLP00005026156.1	wwk-PF 
ENSEBLP00005026161.1	Try29F-PD 
ENSEBLP00005026163.1	wwk-PA 
ENSEBLP00005026168.1	wwk-PE 
ENSEBLP00005026179.1	wwk-PA 
ENSEBLP00005026184.1	mRpS30-PB 
ENSEBLP00005026190.1	wwk-PA 
ENSEBLP00005026217.1	ppk16-PA 
ENSEBLP00005026227.1	ppk16-PA 
ENSEBLP00005026318.1	CG31826-PC 
ENSEBLP00005026325.1	CG31826-PC 
ENSEBLP00005026354.1	nrv3-PD 
ENSEBLP00005026361.1	nrv3-PD 
ENSEBLP00005026367.1	nrv3-PD 
ENSEBLP00005026375.1	nrv3-PD 
ENSEBLP00005026404.1	CG9586-PB 
ENSEBLP00005026424.1	ics-PC 
ENSEBLP00005026559.1	CG4364-PA 
ENSEBLP00005026567.1	CG4364-PA 
ENSEBLP00005026579.1	CG9568-PA 
ENSEBLP00005026595.1	CG8665-PA 
ENSEBLP00005026609.1	Roc1a-PD 
ENSEBLP00005026620.1	Vm26Aa-PB 
ENSEBLP00005026657.1	Wdfy2-PB 
ENSEBLP00005026663.1	Wdfy2-PB 
ENSEBLP00005026689.1	Pka-C1-PD 
ENSEBLP00005026694.1	Pka-C1-PD 
ENSEBLP00005026700.1	Pka-C1-PD 
ENSEBLP00005026756.1	Usp8-PB 
ENSEBLP00005026770.1	Usp8-PB 
ENSEBLP00005026786.1	Grip75-PA 
ENSEBLP00005026826.1	CG32982-PD 
ENSEBLP00005026829.1	CG32982-PD 
ENSEBLP00005026836.1	CG32982-PD 
ENSEBLP00005026839.1	CG32982-PG 
ENSEBLP00005026846.1	CG32982-PA 
ENSEBLP00005026856.1	CG15269-PA 
ENSEBLP00005026886.1	Kr-h1-PB 
ENSEBLP00005026895.1	Kr-h1-PB 
ENSEBLP00005026897.1	Kr-h1-PB 
ENSEBLP00005026904.1	Kr-h1-PB 
ENSEBLP00005026914.1	GlcAT-S-PA 
ENSEBLP00005026927.1	mRpS30-PB 
ENSEBLP00005026943.1	ppk16-PA 
ENSEBLP00005026963.1	DIP-zeta-PB 
ENSEBLP00005026966.1	DIP-zeta-PB 
ENSEBLP00005026970.1	DIP-zeta-PB 
ENSEBLP00005026979.1	DIP-zeta-PB 
ENSEBLP00005027004.1	dtr-PA 
ENSEBLP00005027013.1	dtr-PA 
ENSEBLP00005027017.1	dtr-PA 
ENSEBLP00005027028.1	Ggamma30A-PH 
ENSEBLP00005027038.1	CG13108-PA 
ENSEBLP00005027052.1	stc-PD 
ENSEBLP00005027087.1	lilli-PH 
ENSEBLP00005027095.1	lilli-PH 
ENSEBLP00005027108.1	lilli-PH 
ENSEBLP00005027113.1	lilli-PH 
ENSEBLP00005016177.1	CG13492-PD 
ENSEBLP00005016190.1	PPO2-PA 
ENSEBLP00005016203.1	Mnat9-PB 
ENSEBLP00005016215.1	CG7565-PA 
ENSEBLP00005016238.1	CG30053-PA 
ENSEBLP00005016249.1	lola-PW 
ENSEBLP00005016278.1	ODA-Dnal1-PA 
ENSEBLP00005016285.1	ODA-Dnal1-PA 
ENSEBLP00005016329.1	zip-PB 
ENSEBLP00005016338.1	zip-PB 
ENSEBLP00005016347.1	zip-PF 
ENSEBLP00005016365.1	Qsox1-PB 
ENSEBLP00005016377.1	Qsox1-PB 
ENSEBLP00005016437.1	mim-PF 
ENSEBLP00005016447.1	mim-PJ 
ENSEBLP00005016452.1	mim-PC 
ENSEBLP00005016457.1	mim-PJ 
ENSEBLP00005016466.1	mim-PC 
ENSEBLP00005016473.1	mim-PF 
ENSEBLP00005016482.1	mim-PJ 
ENSEBLP00005016501.1	Cyt-b5-PB 
ENSEBLP00005016522.1	Start1-PC 
ENSEBLP00005016532.1	Start1-PC 
ENSEBLP00005016541.1	CG31626-PB 
ENSEBLP00005016585.1	yip2-PA 
ENSEBLP00005016594.1	yip2-PA 
ENSEBLP00005016610.1	CG4363-PA 
ENSEBLP00005016624.1	NaCP60E-PO 
ENSEBLP00005016640.1	PPO2-PA 
ENSEBLP00005016672.1	nahoda-PB 
ENSEBLP00005016679.1	nahoda-PC 
ENSEBLP00005016686.1	nahoda-PC 
ENSEBLP00005016729.1	Or56a-PA 
ENSEBLP00005016738.1	Or56a-PA 
ENSEBLP00005016770.1	zda-PD 
ENSEBLP00005016788.1	CG13203-PC 
ENSEBLP00005016821.1	NLaz-PC 
ENSEBLP00005016846.1	CG8155-PA 
ENSEBLP00005016854.1	CG8155-PA 
ENSEBLP00005016878.1	Pex5-PB 
ENSEBLP00005016897.1	CG4363-PA 
ENSEBLP00005016937.1	CG8777-PA 
ENSEBLP00005016995.1	pio-PE 
ENSEBLP00005017001.1	pio-PE 
ENSEBLP00005017010.1	pio-PE 
ENSEBLP00005017016.1	pio-PE 
ENSEBLP00005017030.1	pio-PE 
ENSEBLP00005017040.1	pio-PE 
ENSEBLP00005017050.1	pio-PE 
ENSEBLP00005017056.1	pio-PE 
ENSEBLP00005017082.1	Obp49a-PA 
ENSEBLP00005017089.1	Obp49a-PA 
ENSEBLP00005017128.1	Ice1-PA 
ENSEBLP00005017137.1	Ice1-PA 
ENSEBLP00005017169.1	CG2852-PD 
ENSEBLP00005017178.1	CG2852-PD 
ENSEBLP00005017196.1	CG16890-PC 
ENSEBLP00005017213.1	Or92a-PA 
ENSEBLP00005017219.1	Or67c-PA 
ENSEBLP00005017244.1	Xpc-PC 
ENSEBLP00005017250.1	Xpc-PC 
ENSEBLP00005017291.1	CG42663-PC 
ENSEBLP00005017295.1	CG42663-PB 
ENSEBLP00005017304.1	CG42663-PB 
ENSEBLP00005017312.1	CG42663-PB 
ENSEBLP00005017317.1	CG42663-PC 
ENSEBLP00005017336.1	CG10911-PA 
ENSEBLP00005017344.1	CG10911-PA 
ENSEBLP00005017377.1	ttk-PH 
ENSEBLP00005017382.1	ttk-PH 
ENSEBLP00005017390.1	CG4363-PA 
ENSEBLP00005017411.1	Tapdelta-PB 
ENSEBLP00005017419.1	Tapdelta-PB 
ENSEBLP00005017432.1	PIG-N-PA 
ENSEBLP00005017453.1	CG32187-PA 
ENSEBLP00005017459.1	CG32187-PA 
ENSEBLP00005017469.1	CG14803-PA 
ENSEBLP00005017472.1	Had1-PB 
ENSEBLP00005017478.1	CG14803-PA 
ENSEBLP00005017485.1	ppk25-PA 
ENSEBLP00005017501.1	lola-PE 
ENSEBLP00005017541.1	l(3)mbt-PB 
ENSEBLP00005017546.1	l(3)mbt-PB 
ENSEBLP00005017552.1	l(3)mbt-PB 
ENSEBLP00005017559.1	l(3)mbt-PB 
ENSEBLP00005017565.1	l(3)mbt-PB 
ENSEBLP00005017585.1	CG13204-PA 
ENSEBLP00005017605.1	Tpc1-PA 
ENSEBLP00005017613.1	Tpc1-PA 
ENSEBLP00005017656.1	lola-PJ 
ENSEBLP00005017661.1	lola-PB 
ENSEBLP00005017691.1	bic-PB 
ENSEBLP00005017706.1	pre-lola-G-PD 
ENSEBLP00005017718.1	CG4681-PA 
ENSEBLP00005017808.1	Epac-PH 
ENSEBLP00005017821.1	Epac-PH 
ENSEBLP00005017834.1	Epac-PH 
ENSEBLP00005017842.1	Epac-PF 
ENSEBLP00005017856.1	Epac-PH 
ENSEBLP00005017870.1	psq-PM 
ENSEBLP00005017872.1	Epac-PE 
ENSEBLP00005017877.1	psq-PB 
ENSEBLP00005017885.1	Epac-PE 
ENSEBLP00005017900.1	Epac-PE 
ENSEBLP00005017916.1	Epac-PE 
ENSEBLP00005017927.1	Epac-PE 
ENSEBLP00005017975.1	Golgin245-PA 
ENSEBLP00005017983.1	Golgin245-PA 
ENSEBLP00005018047.1	NaCP60E-PJ 
ENSEBLP00005018065.1	NaCP60E-PI 
ENSEBLP00005018083.1	NaCP60E-PH 
ENSEBLP00005018101.1	NaCP60E-PI 
ENSEBLP00005018112.1	NaCP60E-PI 
ENSEBLP00005018138.1	Ance-5-PA 
ENSEBLP00005018147.1	Ance-5-PA 
ENSEBLP00005018180.1	CG8407-PB 
ENSEBLP00005018191.1	CG8407-PB 
ENSEBLP00005018214.1	Pef-PA 
ENSEBLP00005018224.1	Pef-PA 
ENSEBLP00005018233.1	Pef-PA 
ENSEBLP00005018296.1	ana-PC 
ENSEBLP00005018302.1	ana-PA 
ENSEBLP00005018317.1	Mabi-PA 
ENSEBLP00005018351.1	psq-PK 
ENSEBLP00005018364.1	psq-PP 
ENSEBLP00005018373.1	psq-PP 
ENSEBLP00005018386.1	psq-PP 
ENSEBLP00005018397.1	psq-PP 
ENSEBLP00005018405.1	psq-PP 
ENSEBLP00005018445.1	CNT2-PC 
ENSEBLP00005018453.1	CNT2-PC 
ENSEBLP00005018484.1	Or92a-PA 
ENSEBLP00005018491.1	Or67c-PA 
ENSEBLP00005018514.1	Or67c-PA 
ENSEBLP00005018518.1	Or92a-PA 
ENSEBLP00005018529.1	Or92a-PA 
ENSEBLP00005018538.1	Or92a-PA 
ENSEBLP00005018571.1	Dolk-PA 
ENSEBLP00005018575.1	Dolk-PA 
ENSEBLP00005018590.1	CG8197-PB 
ENSEBLP00005018605.1	or-PA 
ENSEBLP00005018632.1	Bap170-PA 
ENSEBLP00005018642.1	Bap170-PA 
ENSEBLP00005018652.1	Bap170-PA 
ENSEBLP00005018662.1	Cyp303a1-PB 
ENSEBLP00005018680.1	Rai1-PA 
ENSEBLP00005018689.1	Rai1-PA 
ENSEBLP00005018709.1	wat-PA 
ENSEBLP00005018718.1	wat-PA 
ENSEBLP00005018748.1	magu-PD 
ENSEBLP00005018757.1	magu-PF 
ENSEBLP00005018764.1	magu-PD 
ENSEBLP00005018773.1	magu-PD 
ENSEBLP00005018792.1	Non1-PB 
ENSEBLP00005018800.1	Non1-PB 
ENSEBLP00005018824.1	Prp8-PA 
ENSEBLP00005018837.1	Prp8-PA 
ENSEBLP00005018893.1	Nurf-38-PC 
ENSEBLP00005018899.1	Nurf-38-PA 
ENSEBLP00005018909.1	trsn-PA 
ENSEBLP00005017425.1	CG15043-PB 
ENSEBLP00005017518.1	HDAC4-PF 
ENSEBLP00005017522.1	HDAC4-PF 
ENSEBLP00005017532.1	HDAC4-PJ 
ENSEBLP00005017544.1	HDAC4-PJ 
ENSEBLP00005017550.1	HDAC4-PJ 
ENSEBLP00005017558.1	HDAC4-PJ 
ENSEBLP00005017567.1	HDAC4-PE 
ENSEBLP00005017575.1	HDAC4-PJ 
ENSEBLP00005017614.1	CG31106-PB 
ENSEBLP00005017619.1	CG31106-PB 
ENSEBLP00005017625.1	CG31106-PB 
ENSEBLP00005017628.1	CG31106-PB 
ENSEBLP00005017646.1	Rad17-PA 
ENSEBLP00005017668.1	Nup93-2-PA 
ENSEBLP00005017700.1	Ir7a-PA 
ENSEBLP00005017739.1	Ocrl-PB 
ENSEBLP00005017777.1	CG34179-PB 
ENSEBLP00005017822.1	ENGase-PA 
ENSEBLP00005017828.1	ENGase-PA 
ENSEBLP00005017836.1	ENGase-PA 
ENSEBLP00005017878.1	Grip128-PB 
ENSEBLP00005017896.1	Grip128-PB 
ENSEBLP00005017954.1	ebo-PA 
ENSEBLP00005017977.1	S6kII-PB 
ENSEBLP00005018002.1	MSBP-PC 
ENSEBLP00005018006.1	MSBP-PC 
ENSEBLP00005018052.1	CG31106-PB 
ENSEBLP00005018062.1	CG31106-PB 
ENSEBLP00005018072.1	CG31106-PB 
ENSEBLP00005018095.1	CG7065-PA 
ENSEBLP00005018104.1	CG7065-PA 
ENSEBLP00005018134.1	CARPA-PC 
ENSEBLP00005018145.1	CARPA-PC 
ENSEBLP00005018162.1	Mvd-PB 
ENSEBLP00005018184.1	sotv-PB 
ENSEBLP00005018266.1	hiw-PB 
ENSEBLP00005018291.1	hiw-PB 
ENSEBLP00005018311.1	hiw-PB 
ENSEBLP00005018330.1	CG3918-PA 
ENSEBLP00005018339.1	CG30020-PC 
ENSEBLP00005018357.1	CG34459-PC 
ENSEBLP00005018369.1	CG34459-PC 
ENSEBLP00005018385.1	Ir7e-PA 
ENSEBLP00005018458.1	CG33172-PB 
ENSEBLP00005018473.1	Tom40-PC 
ENSEBLP00005018511.1	be-PF 
ENSEBLP00005018520.1	be-PF 
ENSEBLP00005018527.1	be-PF 
ENSEBLP00005018570.1	CG31798-PB 
ENSEBLP00005018576.1	CG31798-PB 
ENSEBLP00005018602.1	betaTub65B-PA 
ENSEBLP00005018628.1	PGRP-LE-PB 
ENSEBLP00005018646.1	CG15147-PA 
ENSEBLP00005018659.1	CG2217-PD 
ENSEBLP00005018663.1	CG2217-PD 
ENSEBLP00005018699.1	betaCOP-PA 
ENSEBLP00005018708.1	betaCOP-PA 
ENSEBLP00005018729.1	CG15642-PB 
ENSEBLP00005018761.1	wupA-PF 
ENSEBLP00005018765.1	wupA-PF 
ENSEBLP00005018778.1	wupA-PA 
ENSEBLP00005018784.1	wupA-PA 
ENSEBLP00005018799.1	Nadsyn-PC 
ENSEBLP00005018835.1	CG15027-PA 
ENSEBLP00005018879.1	Ac13E-PC 
ENSEBLP00005018904.1	Nna1-PI 
ENSEBLP00005018908.1	Nna1-PJ 
ENSEBLP00005018961.1	CG15044-PA 
ENSEBLP00005018973.1	CG6299-PE 
ENSEBLP00005019003.1	Cyp4g15-PC 
ENSEBLP00005019031.1	Ddx56-PB 
ENSEBLP00005019038.1	Ddx56-PB 
ENSEBLP00005019043.1	Ddx56-PB 
ENSEBLP00005019054.1	Ddx56-PB 
ENSEBLP00005019060.1	Ddx56-PB 
ENSEBLP00005019076.1	CG30020-PA 
ENSEBLP00005019094.1	CG32485-PA 
ENSEBLP00005019118.1	ND-20-PC 
ENSEBLP00005019125.1	ND-20-PC 
ENSEBLP00005019169.1	Uba5-PA 
ENSEBLP00005019192.1	IPIP-PD 
ENSEBLP00005019202.1	IPIP-PD 
ENSEBLP00005019209.1	IPIP-PD 
ENSEBLP00005019215.1	Ir7c-PB 
ENSEBLP00005019229.1	CG3795-PB 
ENSEBLP00005019250.1	Stim-PA 
ENSEBLP00005019259.1	Stim-PD 
ENSEBLP00005019290.1	Tbcb-PA 
ENSEBLP00005019293.1	Tbcb-PA 
ENSEBLP00005019316.1	CG15743-PB 
ENSEBLP00005019323.1	CG15743-PB 
ENSEBLP00005019337.1	Syt12-PA 
ENSEBLP00005019343.1	Syt12-PA 
ENSEBLP00005019364.1	CG4041-PB 
ENSEBLP00005019371.1	CG4041-PB 
ENSEBLP00005019424.1	RpS2-PC 
ENSEBLP00005019463.1	CG17598-PB 
ENSEBLP00005019471.1	CG17598-PB 
ENSEBLP00005019484.1	mip40-PA 
ENSEBLP00005019501.1	mst-PB 
ENSEBLP00005019523.1	CNBP-PB 
ENSEBLP00005019542.1	CG43155-PC 
ENSEBLP00005019546.1	CG43155-PC 
ENSEBLP00005019566.1	Usp30-PB 
ENSEBLP00005019579.1	jub-PD 
ENSEBLP00005019600.1	ovo-PA 
ENSEBLP00005019640.1	Cen-PB 
ENSEBLP00005019650.1	Cen-PB 
ENSEBLP00005019656.1	Cen-PB 
ENSEBLP00005019660.1	Cen-PB 
ENSEBLP00005019668.1	Cen-PB 
ENSEBLP00005019689.1	Cluap1-PA 
ENSEBLP00005019694.1	Cluap1-PA 
ENSEBLP00005019708.1	CG14613-PB 
ENSEBLP00005019735.1	CG5541-PB 
ENSEBLP00005019746.1	CG5541-PB 
ENSEBLP00005019770.1	CG4928-PC 
ENSEBLP00005019778.1	CG4928-PC 
ENSEBLP00005019782.1	CG4928-PC 
ENSEBLP00005019789.1	CG4928-PC 
ENSEBLP00005019808.1	CG6294-PB 
ENSEBLP00005019819.1	CG6294-PB 
ENSEBLP00005019863.1	Ptp10D-PH 
ENSEBLP00005019871.1	Ptp10D-PI 
ENSEBLP00005019876.1	Ptp10D-PG 
ENSEBLP00005019914.1	CG17600-PD 
ENSEBLP00005019917.1	CG17600-PD 
ENSEBLP00005019923.1	CG17600-PD 
ENSEBLP00005019930.1	CG17600-PA 
ENSEBLP00005019976.1	Stim-PA 
ENSEBLP00005019985.1	Stim-PA 
ENSEBLP00005019993.1	Stim-PA 
ENSEBLP00005020001.1	Stim-PA 
ENSEBLP00005020008.1	Stim-PA 
ENSEBLP00005020028.1	CG16787-PA 
ENSEBLP00005020065.1	hiw-PB 
ENSEBLP00005020112.1	Gmap-PC 
ENSEBLP00005019011.1	hrg-PD 
ENSEBLP00005019032.1	LTV1-PB 
ENSEBLP00005019039.1	LTV1-PB 
ENSEBLP00005019074.1	CG30015-PB 
ENSEBLP00005019078.1	CG30015-PB 
ENSEBLP00005019091.1	cos-PB 
ENSEBLP00005019103.1	Cyp6g2-PA 
ENSEBLP00005019115.1	CG11125-PC 
ENSEBLP00005019124.1	CG11125-PC 
ENSEBLP00005019130.1	CG11125-PC 
ENSEBLP00005019133.1	CG11125-PC 
ENSEBLP00005019135.1	Cyp6g1-PB 
ENSEBLP00005019149.1	CG30094-PA 
ENSEBLP00005019159.1	CG30094-PA 
ENSEBLP00005019163.1	CG30094-PA 
ENSEBLP00005019191.1	Dscam1-PBD 
ENSEBLP00005019211.1	mRRF2-PA 
ENSEBLP00005019232.1	CG8248-PA 
ENSEBLP00005019270.1	Dhx15-PB 
ENSEBLP00005019289.1	mRRF2-PA 
ENSEBLP00005019313.1	CG11141-PC 
ENSEBLP00005019336.1	so-PA 
ENSEBLP00005019377.1	Ir56d-PA 
ENSEBLP00005019397.1	CG4646-PB 
ENSEBLP00005019452.1	CG14591-PD 
ENSEBLP00005019477.1	Cam-PD 
ENSEBLP00005019485.1	Cam-PD 
ENSEBLP00005019491.1	Cam-PD 
ENSEBLP00005019514.1	Hao-PB 
ENSEBLP00005019522.1	Hao-PB 
ENSEBLP00005019539.1	Glo1-PA 
ENSEBLP00005019582.1	128up-PA 
ENSEBLP00005019611.1	Golgin97-PA 
ENSEBLP00005019621.1	Golgin97-PA 
ENSEBLP00005019626.1	Golgin97-PA 
ENSEBLP00005019639.1	Ntmt-PB 
ENSEBLP00005019700.1	gd-PF 
ENSEBLP00005019714.1	AsnRS-m-PA 
ENSEBLP00005019742.1	Kpc2-PA 
ENSEBLP00005019795.1	Glo1-PA 
ENSEBLP00005019804.1	Glo1-PA 
ENSEBLP00005019811.1	Glo1-PA 
ENSEBLP00005019829.1	cyp33-PA 
ENSEBLP00005019859.1	O-fut1-PB 
ENSEBLP00005019867.1	O-fut1-PB 
ENSEBLP00005019903.1	CG33286-PB 
ENSEBLP00005019912.1	CG33286-PB 
ENSEBLP00005019922.1	CG33286-PB 
ENSEBLP00005020064.1	sm-PU 
ENSEBLP00005020068.1	sm-PU 
ENSEBLP00005020077.1	sm-PZ 
ENSEBLP00005020084.1	sm-PU 
ENSEBLP00005020087.1	sm-PZ 
ENSEBLP00005020095.1	sm-PZ 
ENSEBLP00005020102.1	sm-PU 
ENSEBLP00005020176.1	sm-PJ 
ENSEBLP00005020183.1	sm-PJ 
ENSEBLP00005020205.1	Cyp6g2-PA 
ENSEBLP00005020218.1	Cyp6g2-PA 
ENSEBLP00005020271.1	CG15201-PA 
ENSEBLP00005020277.1	CG15201-PA 
ENSEBLP00005020285.1	Cyp6g2-PA 
ENSEBLP00005020309.1	CG8850-PA 
ENSEBLP00005020368.1	Treh-PF 
ENSEBLP00005020372.1	Treh-PF 
ENSEBLP00005020378.1	Treh-PF 
ENSEBLP00005020388.1	Treh-PF 
ENSEBLP00005020392.1	Treh-PF 
ENSEBLP00005020397.1	Ir56b-PB 
ENSEBLP00005020440.1	Ir56b-PB 
ENSEBLP00005020452.1	CG15201-PA 
ENSEBLP00005020500.1	CG11123-PA 
ENSEBLP00005020507.1	CG11123-PA 
ENSEBLP00005020522.1	CG4935-PA 
ENSEBLP00005020528.1	CG4935-PA 
ENSEBLP00005020531.1	CG4935-PA 
ENSEBLP00005020576.1	Fa2h-PB 
ENSEBLP00005020581.1	Fa2h-PB 
ENSEBLP00005020584.1	Fa2h-PB 
ENSEBLP00005020588.1	Fa2h-PB 
ENSEBLP00005020591.1	Fa2h-PB 
ENSEBLP00005020598.1	Fa2h-PB 
ENSEBLP00005020601.1	Fa2h-PB 
ENSEBLP00005020605.1	Fa2h-PB 
ENSEBLP00005020629.1	Muc11A-PB 
ENSEBLP00005020664.1	Ir56c-PA 
ENSEBLP00005020670.1	Ir56c-PA 
ENSEBLP00005020682.1	Inos-PA 
ENSEBLP00005020690.1	Inos-PA 
ENSEBLP00005020715.1	CG14591-PD 
ENSEBLP00005020722.1	CG14591-PD 
ENSEBLP00005020771.1	Eaf-PA 
ENSEBLP00005020776.1	Eaf-PA 
ENSEBLP00005020793.1	Pex13-PA 
ENSEBLP00005020814.1	Treh-PF 
ENSEBLP00005020854.1	CG9646-PA 
ENSEBLP00005020867.1	CG9646-PB 
ENSEBLP00005020874.1	CG9646-PA 
ENSEBLP00005020887.1	fat-spondin-PA 
ENSEBLP00005020908.1	Cyp6g1-PB 
ENSEBLP00005020936.1	Dp-PA 
ENSEBLP00005020962.1	CG8858-PA 
ENSEBLP00005021041.1	cnn-PH 
