#Query	BLAST hit 1
ENSEBLP00000002056.1	 RpL7-like-PC 
ENSEBLP00000006517.1	 CG4497-PB 
ENSEBLP00000006518.1	 Tret1-1-PA 
ENSEBLP00000006519.1	 mt:CoIII-PA 
ENSEBLP00000006520.1	 Msp300-PG 
ENSEBLP00000006521.1	 D-PD 
ENSEBLP00000006522.1	 CG5112-PA 
ENSEBLP00000006523.1	 Gpo1-PD 
ENSEBLP00000006524.1	 HPS4-PB 
ENSEBLP00000006525.1	 Tret1-1-PB 
ENSEBLP00000006527.1	  
ENSEBLP00000006526.1	 CG15254-PB 
ENSEBLP00000006528.1	 RpS18-PA 
ENSEBLP00000006529.1	  
ENSEBLP00000006530.1	 HPS4-PB 
ENSEBLP00000006532.1	  
ENSEBLP00000006533.1	 CG6927-PA 
ENSEBLP00000006534.1	  
ENSEBLP00000006535.1	  
ENSEBLP00000006536.1	 Gpo1-PD 
ENSEBLP00000006538.1	  
ENSEBLP00000006537.1	 CG10348-PB 
ENSEBLP00000006539.1	 RpS18-PA 
ENSEBLP00000006540.1	 Buffy-PA 
ENSEBLP00000006542.1	 slim-PC 
ENSEBLP00000006543.1	 Tret1-1-PA 
ENSEBLP00000006541.1	 HPS4-PB 
ENSEBLP00000006545.1	 CG5112-PA 
ENSEBLP00000006546.1	 CG10348-PB 
ENSEBLP00000006547.1	 HPS4-PB 
ENSEBLP00000006548.1	 Buffy-PA 
ENSEBLP00000006549.1	  
ENSEBLP00000006550.1	  
ENSEBLP00000006551.1	 Tret1-1-PA 
ENSEBLP00000006552.1	 Gpo1-PD 
ENSEBLP00000006553.1	 Tsp42Ea-PC 
ENSEBLP00000006555.1	 HPS4-PB 
ENSEBLP00000006556.1	 Tbc1d15-17-PC 
ENSEBLP00000006557.1	  
ENSEBLP00000006558.1	 crol-PI 
ENSEBLP00000006559.1	 CG6927-PA 
ENSEBLP00000006560.1	  
ENSEBLP00000006561.1	 Buffy-PA 
ENSEBLP00000006562.1	  
ENSEBLP00000006563.1	  
ENSEBLP00000006564.1	 Sodq-PA 
ENSEBLP00000006565.1	 Ack-like-PE 
ENSEBLP00000006566.1	 Tsp42Ea-PC 
ENSEBLP00000006567.1	 HPS4-PB 
ENSEBLP00000006569.1	  
ENSEBLP00000006570.1	 Buffy-PA 
ENSEBLP00000006571.1	 crol-PI 
ENSEBLP00000006573.1	 CG5112-PA 
ENSEBLP00000006572.1	  
ENSEBLP00000006574.1	 CG11555-PB 
ENSEBLP00000006576.1	 Buffy-PA 
ENSEBLP00000006577.1	  
ENSEBLP00000006578.1	  
ENSEBLP00000006579.1	  
ENSEBLP00000006580.1	 Ack-like-PA 
ENSEBLP00000006581.1	  
ENSEBLP00000006582.1	 crol-PD 
ENSEBLP00000006583.1	  
ENSEBLP00000006584.1	  
ENSEBLP00000006585.1	  
ENSEBLP00000006586.1	 Arc2-PA 
ENSEBLP00000006587.1	  
ENSEBLP00000006588.1	 CG6927-PA 
ENSEBLP00000006589.1	 Ack-like-PA 
ENSEBLP00000006590.1	 CG14024-PB 
ENSEBLP00000006591.1	  
ENSEBLP00000006592.1	  
ENSEBLP00000006593.1	 tor-PD 
ENSEBLP00000006595.1	 Pde1c-PE 
ENSEBLP00000006594.1	 CG5390-PB 
ENSEBLP00000006596.1	 Ack-like-PE 
ENSEBLP00000006597.1	  
ENSEBLP00000006598.1	 CG14024-PB 
ENSEBLP00000006599.1	 Myo31DF-PC 
ENSEBLP00000006600.1	  
ENSEBLP00000006601.1	  
ENSEBLP00000006602.1	 Pde1c-PE 
ENSEBLP00000006603.1	  
ENSEBLP00000006604.1	  
ENSEBLP00000006605.1	 grh-PL 
ENSEBLP00000006606.1	 tor-PD 
ENSEBLP00000006607.1	  
ENSEBLP00000006608.1	  
ENSEBLP00000006609.1	 CG31816-PA 
ENSEBLP00000006610.1	  
ENSEBLP00000006611.1	 Sema2b-PD 
ENSEBLP00000006612.1	 Myo31DF-PC 
ENSEBLP00000006613.1	  
ENSEBLP00000006614.1	 Synj-PC 
ENSEBLP00000006615.1	 twit-PA 
ENSEBLP00000006616.1	 grh-PL 
ENSEBLP00000006617.1	 CG31816-PA 
ENSEBLP00000006620.1	 CG7778-PB 
ENSEBLP00000006619.1	  
ENSEBLP00000006618.1	 tor-PA 
ENSEBLP00000006621.1	 grh-PL 
ENSEBLP00000006622.1	 Sec24AB-PB 
ENSEBLP00000006623.1	 twit-PA 
ENSEBLP00000006624.1	 Epac-PE 
ENSEBLP00000006625.1	  
ENSEBLP00000006626.1	 CG17217-PA 
ENSEBLP00000006628.1	 Sema2b-PD 
ENSEBLP00000006629.1	 Synj-PC 
ENSEBLP00000006630.1	 Myo31DF-PC 
ENSEBLP00000006631.1	  
ENSEBLP00000006632.1	 CG6867-PA 
ENSEBLP00000006633.1	 Sec24AB-PB 
ENSEBLP00000006634.1	 CG30471-PB 
ENSEBLP00000006635.1	 Sema2b-PD 
ENSEBLP00000006638.1	 Polr1C-PA 
ENSEBLP00000006637.1	 twit-PA 
ENSEBLP00000006639.1	 CG3732-PA 
ENSEBLP00000006640.1	 CG6867-PA 
ENSEBLP00000006641.1	  
ENSEBLP00000006643.1	  
ENSEBLP00000006642.1	 Sec24AB-PB 
ENSEBLP00000006644.1	  
ENSEBLP00000006646.1	  
ENSEBLP00000006647.1	 CG3732-PA 
ENSEBLP00000006648.1	  
ENSEBLP00000006649.1	 CG30471-PB 
ENSEBLP00000006650.1	 Sema2b-PD 
ENSEBLP00000006651.1	 CG17754-PF 
ENSEBLP00000006652.1	 Polr1C-PA 
ENSEBLP00000006653.1	 CG6867-PA 
ENSEBLP00000006654.1	  
ENSEBLP00000006655.1	 Or43a-PA 
ENSEBLP00000006656.1	 key-PA 
ENSEBLP00000006658.1	 CG4049-PA 
ENSEBLP00000006659.1	 CG6867-PA 
ENSEBLP00000006660.1	 Mgat1-PA 
ENSEBLP00000006661.1	  
ENSEBLP00000006662.1	 CG7194-PA 
ENSEBLP00000006663.1	 CG4049-PA 
ENSEBLP00000006664.1	 CG3792-PA 
ENSEBLP00000006665.1	 l(2)09851-PB 
ENSEBLP00000006666.1	  
ENSEBLP00000006667.1	 Elba1-PA 
ENSEBLP00000006668.1	 NtR-PA 
ENSEBLP00000006669.1	 Polr1B-PA 
ENSEBLP00000006671.1	 CG6867-PA 
ENSEBLP00000006670.1	 Mgat1-PA 
ENSEBLP00000006672.1	 key-PA 
ENSEBLP00000006673.1	 CG4049-PA 
ENSEBLP00000006674.1	  
ENSEBLP00000006675.1	 Acsl-PJ 
ENSEBLP00000006676.1	 CG7737-PA 
ENSEBLP00000006677.1	 Hel25E-PB 
ENSEBLP00000006678.1	 l(2)09851-PB 
ENSEBLP00000006679.1	 CG34141-PD 
ENSEBLP00000006680.1	  
ENSEBLP00000006681.1	 Mgat1-PA 
ENSEBLP00000006682.1	 Acsl-PJ 
ENSEBLP00000006683.1	 Hel25E-PB 
ENSEBLP00000006684.1	 Sdc-PB 
ENSEBLP00000006686.1	 CG34141-PD 
ENSEBLP00000006685.1	  
ENSEBLP00000006687.1	  
ENSEBLP00000006688.1	 NtR-PA 
ENSEBLP00000006689.1	 bark-PC 
ENSEBLP00000006690.1	  
ENSEBLP00000006691.1	 Muc55B-PB 
ENSEBLP00000006692.1	  
ENSEBLP00000006693.1	 Acsl-PJ 
ENSEBLP00000006694.1	 Gdap2-PE 
ENSEBLP00000006695.1	 Sdc-PK 
ENSEBLP00000006696.1	  
ENSEBLP00000006697.1	 Rme-8-PB 
ENSEBLP00000006698.1	 DIP-lambda-PA 
ENSEBLP00000006699.1	  
ENSEBLP00000006700.1	 Sdc-PB 
ENSEBLP00000006701.1	 bark-PA 
ENSEBLP00000006702.1	 CG31041-PA 
ENSEBLP00000006703.1	 tun-PC 
ENSEBLP00000006705.1	  
ENSEBLP00000006704.1	 Gdap2-PE 
ENSEBLP00000006706.1	 Acsl-PJ 
ENSEBLP00000006707.1	  
ENSEBLP00000006709.1	 eIF2Bepsilon-PB 
ENSEBLP00000006708.1	 witty-PA 
ENSEBLP00000006710.1	  
ENSEBLP00000006711.1	 DIP-lambda-PA 
ENSEBLP00000006712.1	 tun-PC 
ENSEBLP00000006713.1	  
ENSEBLP00000006714.1	 CG6271-PA 
ENSEBLP00000006715.1	 Iris-PA 
ENSEBLP00000006716.1	 Sdc-PB 
ENSEBLP00000006717.1	  
ENSEBLP00000006718.1	 Acsl-PJ 
ENSEBLP00000006719.1	 CG13330-PA 
ENSEBLP00000006720.1	 tun-PC 
ENSEBLP00000006721.1	  
ENSEBLP00000006722.1	 CG6271-PA 
ENSEBLP00000006723.1	  
ENSEBLP00000006724.1	 Sdc-PB 
ENSEBLP00000006725.1	  
ENSEBLP00000006726.1	  
ENSEBLP00000006727.1	 Acsl-PJ 
ENSEBLP00000006728.1	  
ENSEBLP00000006730.1	  
ENSEBLP00000006729.1	 Sdc-PB 
ENSEBLP00000006731.1	  
ENSEBLP00000006733.1	 CG43088-PA 
ENSEBLP00000006734.1	 Spn55B-PA 
ENSEBLP00000006735.1	  
ENSEBLP00000006736.1	  
ENSEBLP00000006737.1	 Vhl-PB 
ENSEBLP00000006738.1	 Iris-PA 
ENSEBLP00000006739.1	  
ENSEBLP00000006740.1	 CG13085-PB 
ENSEBLP00000006741.1	 Uro-PA 
ENSEBLP00000006742.1	 Spn55B-PA 
ENSEBLP00000006743.1	  
ENSEBLP00000006745.1	 CG15708-PA 
ENSEBLP00000006746.1	 mtm-PB 
ENSEBLP00000006747.1	  
ENSEBLP00000006748.1	  
ENSEBLP00000006749.1	 senju-PA 
ENSEBLP00000006750.1	 CG15708-PA 
ENSEBLP00000006752.1	 CG5390-PB 
ENSEBLP00000006751.1	 Spn55B-PA 
ENSEBLP00000006754.1	  
ENSEBLP00000006755.1	 mtm-PB 
ENSEBLP00000006756.1	 Arf4-PB 
ENSEBLP00000006757.1	 CG4554-PA 
ENSEBLP00000006758.1	 CG9641-PA 
ENSEBLP00000006760.1	 Spn55B-PA 
ENSEBLP00000006759.1	 CG15708-PA 
ENSEBLP00000006761.1	 senju-PA 
ENSEBLP00000006763.1	 Sdic1-PA 
ENSEBLP00000006762.1	 Nedd8-PB 
ENSEBLP00000006764.1	 mtm-PB 
ENSEBLP00000006765.1	 CG5390-PB 
ENSEBLP00000006767.1	  
ENSEBLP00000006768.1	 CG5390-PB 
ENSEBLP00000006769.1	 CG4554-PA 
ENSEBLP00000006770.1	  
ENSEBLP00000006771.1	 Spn55B-PA 
ENSEBLP00000006772.1	 Cap-D3-PB 
ENSEBLP00000006773.1	 CG13795-PC 
ENSEBLP00000006774.1	 senju-PA 
ENSEBLP00000006775.1	 Mmp1-PL 
ENSEBLP00000006777.1	 Eb1-PG 
ENSEBLP00000006778.1	 CG15255-PB 
ENSEBLP00000006779.1	 CG42663-PC 
ENSEBLP00000006780.1	 Spn55B-PA 
ENSEBLP00000006781.1	 CG15080-PA 
ENSEBLP00000006782.1	  
ENSEBLP00000006783.1	 CG6277-PA 
ENSEBLP00000006784.1	 Mmp1-PL 
ENSEBLP00000006785.1	 CG13795-PC 
ENSEBLP00000006786.1	 Cap-D3-PB 
ENSEBLP00000006787.1	  
ENSEBLP00000006789.1	 PPO1-PA 
ENSEBLP00000006790.1	 CG42663-PB 
ENSEBLP00000006791.1	  
ENSEBLP00000006792.1	 Eb1-PG 
ENSEBLP00000006793.1	 CG4496-PC 
ENSEBLP00000006794.1	  
ENSEBLP00000006795.1	 slf-PB 
ENSEBLP00000006796.1	 Cap-D3-PB 
ENSEBLP00000006798.1	  
ENSEBLP00000006799.1	  
ENSEBLP00000006800.1	  
ENSEBLP00000006801.1	  
ENSEBLP00000006802.1	 CG4496-PC 
ENSEBLP00000006803.1	 CG42663-PB 
ENSEBLP00000006804.1	 Shaw-PC 
ENSEBLP00000006805.1	 Eb1-PG 
ENSEBLP00000006806.1	  
ENSEBLP00000006807.1	 slf-PB 
ENSEBLP00000006808.1	 Shaw-PC 
ENSEBLP00000006809.1	 Hayan-PD 
ENSEBLP00000006810.1	  
ENSEBLP00000006812.1	  
ENSEBLP00000006811.1	 Cap-D3-PB 
ENSEBLP00000006813.1	 Zir-PA 
ENSEBLP00000006814.1	 Eb1-PG 
ENSEBLP00000006815.1	 CG42663-PC 
ENSEBLP00000006816.1	 CG15908-PA 
ENSEBLP00000006817.1	  
ENSEBLP00000006818.1	 Shaw-PA 
ENSEBLP00000006820.1	 Hayan-PD 
ENSEBLP00000006819.1	 CG6454-PE 
ENSEBLP00000006821.1	  
ENSEBLP00000006822.1	 CCT5-PA 
ENSEBLP00000006823.1	  
ENSEBLP00000006824.1	 CG43088-PA 
ENSEBLP00000006826.1	  
ENSEBLP00000006825.1	 Mys45A-PA 
ENSEBLP00000006827.1	 Eb1-PG 
ENSEBLP00000006828.1	 CG42663-PC 
ENSEBLP00000006829.1	 Shaw-PE 
ENSEBLP00000006830.1	 CG13775-PC 
ENSEBLP00000006831.1	 Hayan-PA 
ENSEBLP00000006832.1	 Zir-PA 
ENSEBLP00000006833.1	 CG15908-PA 
ENSEBLP00000006834.1	 CCT5-PA 
ENSEBLP00000006835.1	 Eb1-PF 
ENSEBLP00000006836.1	 IKKepsilon-PC 
ENSEBLP00000006837.1	 CG3894-PC 
ENSEBLP00000006838.1	  
ENSEBLP00000006840.1	  
ENSEBLP00000006841.1	  
ENSEBLP00000006842.1	 CG10949-PB 
ENSEBLP00000006843.1	 Zir-PA 
ENSEBLP00000006844.1	 Hayan-PA 
ENSEBLP00000006845.1	  
ENSEBLP00000006846.1	  
ENSEBLP00000006847.1	 qsm-PB 
ENSEBLP00000006848.1	  
ENSEBLP00000006849.1	 Der-1-PB 
ENSEBLP00000006851.1	  
ENSEBLP00000006852.1	 nub-PE 
ENSEBLP00000006853.1	 Zir-PA 
ENSEBLP00000006854.1	 insv-PB 
ENSEBLP00000006856.1	 uri-PA 
ENSEBLP00000006855.1	 CG8736-PB 
ENSEBLP00000006857.1	 CG10949-PB 
ENSEBLP00000006858.1	 E23-PE 
ENSEBLP00000006859.1	 Der-1-PB 
ENSEBLP00000006860.1	 nub-PE 
ENSEBLP00000006861.1	  
ENSEBLP00000006862.1	 AIMP3-PA 
ENSEBLP00000006863.1	 uri-PA 
ENSEBLP00000006864.1	  
ENSEBLP00000006865.1	 Pif1-PB 
ENSEBLP00000006867.1	  
ENSEBLP00000006868.1	 TBC1D16-PA 
ENSEBLP00000006869.1	 Ir56d-PA 
ENSEBLP00000006870.1	 E23-PE 
ENSEBLP00000006871.1	 Jheh1-PA 
ENSEBLP00000006872.1	 Ir56d-PA 
ENSEBLP00000006873.1	 TBC1D16-PA 
ENSEBLP00000006874.1	 CG14050-PB 
ENSEBLP00000006875.1	 CG43446-PA 
ENSEBLP00000006876.1	 Sec71-PA 
ENSEBLP00000006877.1	  
ENSEBLP00000006878.1	  
ENSEBLP00000006879.1	 Ir56d-PA 
ENSEBLP00000006880.1	 CG32813-PO 
ENSEBLP00000006881.1	  
ENSEBLP00000006882.1	  
ENSEBLP00000006884.1	  
ENSEBLP00000006885.1	 CYLD-PE 
ENSEBLP00000006886.1	 Sec71-PA 
ENSEBLP00000006887.1	 ppk17-PB 
ENSEBLP00000006888.1	 ppk3-PA 
ENSEBLP00000006889.1	 CG30428-PA 
ENSEBLP00000006890.1	 CYLD-PE 
ENSEBLP00000006891.1	  
ENSEBLP00000006892.1	  
ENSEBLP00000006893.1	 Sec71-PA 
ENSEBLP00000006895.1	 prod-PA 
ENSEBLP00000006894.1	 CG17754-PF 
ENSEBLP00000006898.1	  
ENSEBLP00000006897.1	  
ENSEBLP00000006896.1	 ppk17-PB 
ENSEBLP00000006899.1	  
ENSEBLP00000006900.1	  
ENSEBLP00000006901.1	  
ENSEBLP00000006902.1	 CYLD-PE 
ENSEBLP00000006903.1	 Cdk5-PA 
ENSEBLP00000006904.1	  
ENSEBLP00000006905.1	 prod-PA 
ENSEBLP00000006906.1	 ft-PA 
ENSEBLP00000006907.1	 prod-PA 
ENSEBLP00000006908.1	 Cdk5-PA 
ENSEBLP00000006909.1	 Samuel-PB 
ENSEBLP00000006910.1	 ft-PA 
ENSEBLP00000006912.1	 SERCA-PF 
ENSEBLP00000006913.1	  
ENSEBLP00000006914.1	  
ENSEBLP00000006915.1	 Cwc25-PA 
ENSEBLP00000006916.1	  
ENSEBLP00000006917.1	  
ENSEBLP00000006918.1	 mRpL10-PA 
ENSEBLP00000006921.1	 CG42335-PE 
ENSEBLP00000006920.1	 Or2a-PA 
ENSEBLP00000006922.1	 Cyt-c-p-PB 
ENSEBLP00000006923.1	 Samuel-PB 
ENSEBLP00000006924.1	 Iris-PA 
ENSEBLP00000006925.1	 SERCA-PA 
ENSEBLP00000006926.1	  
ENSEBLP00000006927.1	 Or45b-PA 
ENSEBLP00000006928.1	  
ENSEBLP00000006929.1	 gammaSnap1-PA 
ENSEBLP00000006931.1	 Or2a-PA 
ENSEBLP00000006932.1	  
ENSEBLP00000006933.1	 CG13318-PA 
ENSEBLP00000006934.1	 CG42335-PE 
ENSEBLP00000006935.1	 SERCA-PA 
ENSEBLP00000006936.1	 Lrch-PA 
ENSEBLP00000006937.1	 CG15043-PB 
ENSEBLP00000006938.1	  
ENSEBLP00000006939.1	  
ENSEBLP00000006941.1	 Or22c-PA 
ENSEBLP00000006940.1	 His2B:CG33910-PA 
ENSEBLP00000006942.1	 Camp-PB 
ENSEBLP00000006943.1	  
ENSEBLP00000006944.1	 gammaSnap1-PA 
ENSEBLP00000006945.1	 SERCA-PA 
ENSEBLP00000006946.1	 Lrch-PA 
ENSEBLP00000006947.1	 TpnC25D-PC 
ENSEBLP00000006948.1	 Ice1-PA 
ENSEBLP00000006949.1	 beat-IIIb-PD 
ENSEBLP00000006950.1	 Lrch-PA 
ENSEBLP00000006951.1	 CG5758-PF 
ENSEBLP00000006952.1	 CG4230-PC 
ENSEBLP00000006953.1	  
ENSEBLP00000006955.1	 Utx-PA 
ENSEBLP00000006956.1	  
ENSEBLP00000006957.1	 CG6271-PA 
ENSEBLP00000006958.1	 CG42382-PA 
ENSEBLP00000006959.1	 beat-IIIb-PD 
ENSEBLP00000006960.1	 Ice1-PA 
ENSEBLP00000006961.1	 Lrch-PA 
ENSEBLP00000006962.1	 CG5390-PB 
ENSEBLP00000006964.1	 CG5758-PF 
ENSEBLP00000006965.1	 Tep2-PG 
ENSEBLP00000006966.1	 CG4230-PB 
ENSEBLP00000006967.1	  
ENSEBLP00000006968.1	 CG5390-PB 
ENSEBLP00000006969.1	 d4-PA 
ENSEBLP00000006970.1	 MICU1-PB 
ENSEBLP00000006971.1	 pigeon-PB 
ENSEBLP00000006972.1	 Nadk2-PA 
ENSEBLP00000006973.1	 Lrch-PB 
ENSEBLP00000006974.1	  
ENSEBLP00000006975.1	  
ENSEBLP00000006976.1	  
ENSEBLP00000006977.1	  
ENSEBLP00000006978.1	 d4-PD 
ENSEBLP00000006979.1	 CG13615-PA 
ENSEBLP00000006980.1	 MICU1-PB 
ENSEBLP00000006982.1	 pigeon-PA 
ENSEBLP00000006981.1	  
ENSEBLP00000006983.1	  
ENSEBLP00000006984.1	 trr-PD 
ENSEBLP00000006985.1	 Nadk2-PA 
ENSEBLP00000006986.1	 Xe7-PE 
ENSEBLP00000006987.1	 CG3277-PC 
ENSEBLP00000006988.1	 MICU1-PB 
ENSEBLP00000006989.1	 CG5160-PB 
ENSEBLP00000006990.1	 clt-PA 
ENSEBLP00000006991.1	 CG12107-PA 
ENSEBLP00000006992.1	 trr-PC 
ENSEBLP00000006993.1	 Hydr2-PB 
ENSEBLP00000006995.1	 Nadk2-PA 
ENSEBLP00000006994.1	 CG15043-PB 
ENSEBLP00000006997.1	 Cpr64Ad-PB 
ENSEBLP00000006996.1	 clt-PA 
ENSEBLP00000006998.1	 CG8728-PA 
ENSEBLP00000006999.1	  
ENSEBLP00000007000.1	  
ENSEBLP00000007001.1	 MICU1-PB 
ENSEBLP00000007003.1	 CG4270-PA 
ENSEBLP00000007002.1	 Cpr72Eb-PA 
ENSEBLP00000007004.1	 CG43088-PA 
ENSEBLP00000007005.1	 CG5160-PB 
ENSEBLP00000007006.1	 CG3277-PC 
ENSEBLP00000007007.1	 CG8728-PA 
ENSEBLP00000007008.1	 clt-PA 
ENSEBLP00000007009.1	 Kua-PC 
ENSEBLP00000007010.1	 Mgtor-PB 
ENSEBLP00000007011.1	 RFeSP-PE 
ENSEBLP00000007012.1	 MICU1-PA 
ENSEBLP00000007013.1	 CG5160-PB 
ENSEBLP00000007014.1	  
ENSEBLP00000007015.1	  
ENSEBLP00000007016.1	 apt-PE 
ENSEBLP00000007017.1	 clt-PA 
ENSEBLP00000007018.1	 PolE4-PB 
ENSEBLP00000007019.1	 Mgtor-PB 
ENSEBLP00000007020.1	 Iris-PA 
ENSEBLP00000007021.1	 Kua-PC 
ENSEBLP00000007022.1	  
ENSEBLP00000007025.1	 CG5160-PB 
ENSEBLP00000007024.1	 CG3277-PC 
ENSEBLP00000007026.1	  
ENSEBLP00000007027.1	 apt-PB 
ENSEBLP00000007028.1	  
ENSEBLP00000007029.1	  
ENSEBLP00000007030.1	 clt-PA 
ENSEBLP00000007031.1	 CG9522-PA 
ENSEBLP00000007032.1	  
ENSEBLP00000007033.1	  
ENSEBLP00000007034.1	 apt-PB 
ENSEBLP00000007035.1	 CG5160-PB 
ENSEBLP00000007036.1	  
ENSEBLP00000007038.1	 CG3277-PC 
ENSEBLP00000007039.1	 NtR-PB 
ENSEBLP00000007040.1	 Snx16-PA 
ENSEBLP00000007041.1	 apt-PA 
ENSEBLP00000007042.1	  
ENSEBLP00000007043.1	  
ENSEBLP00000007044.1	 CG31139-PC 
ENSEBLP00000007045.1	  
ENSEBLP00000007046.1	 Spx-PA 
ENSEBLP00000007048.1	 CG3277-PC 
ENSEBLP00000007049.1	  
ENSEBLP00000007050.1	 CG31650-PF 
ENSEBLP00000007051.1	 nemy-PA 
ENSEBLP00000007052.1	  
ENSEBLP00000007053.1	 Spindly-PB 
ENSEBLP00000007055.1	 Ziz-PD 
ENSEBLP00000007056.1	 sob-PA 
ENSEBLP00000007057.1	  
ENSEBLP00000007058.1	 CG7824-PC 
ENSEBLP00000007059.1	  
ENSEBLP00000007060.1	 CLIP-190-PI 
ENSEBLP00000007061.1	 nemy-PB 
ENSEBLP00000007063.1	 CG13516-PB 
ENSEBLP00000007062.1	 CG17754-PG 
ENSEBLP00000007064.1	 CG30428-PA 
ENSEBLP00000007065.1	  
ENSEBLP00000007066.1	  
ENSEBLP00000007067.1	 Ziz-PC 
ENSEBLP00000007068.1	  
ENSEBLP00000007069.1	 CLIP-190-PI 
ENSEBLP00000007070.1	  
ENSEBLP00000007071.1	 Mthfs-PA 
ENSEBLP00000007072.1	  
ENSEBLP00000007073.1	 Ttc19-PA 
ENSEBLP00000007074.1	 nemy-PA 
ENSEBLP00000007075.1	  
ENSEBLP00000007076.1	 retn-PD 
ENSEBLP00000007078.1	 CLIP-190-PP 
ENSEBLP00000007077.1	 Mthfs-PA 
ENSEBLP00000007079.1	  
ENSEBLP00000007080.1	 Ziz-PH 
ENSEBLP00000007081.1	  
ENSEBLP00000007082.1	 CG42259-PB 
ENSEBLP00000007083.1	  
ENSEBLP00000007084.1	 Ttc19-PA 
ENSEBLP00000007085.1	 CG5390-PB 
ENSEBLP00000007086.1	 Mthfs-PA 
ENSEBLP00000007087.1	 cathD-PC 
ENSEBLP00000007088.1	  
ENSEBLP00000007089.1	 CG42259-PB 
ENSEBLP00000007090.1	 CLIP-190-PN 
ENSEBLP00000007091.1	 Ugt37C2-PB 
ENSEBLP00000007092.1	 CG17574-PA 
ENSEBLP00000007093.1	 retn-PA 
ENSEBLP00000007094.1	 SRPK-PC 
ENSEBLP00000007096.1	 Mthfs-PA 
ENSEBLP00000007097.1	 Ugt37C2-PB 
ENSEBLP00000007098.1	 SRPK-PB 
ENSEBLP00000007099.1	 CG11815-PA 
ENSEBLP00000007100.1	 CG15650-PB 
ENSEBLP00000007101.1	 CG42259-PB 
ENSEBLP00000007102.1	  
ENSEBLP00000007103.1	 CG31687-PB 
ENSEBLP00000007104.1	 CG17574-PA 
ENSEBLP00000007105.1	 Tep2-PD 
ENSEBLP00000007106.1	 retn-PA 
ENSEBLP00000007107.1	 SRPK-PB 
ENSEBLP00000007108.1	 Oatp33Eb-PA 
ENSEBLP00000007110.1	  
ENSEBLP00000007111.1	  
ENSEBLP00000007112.1	 retn-PA 
ENSEBLP00000007113.1	 Usp15-31-PA 
ENSEBLP00000007114.1	 dwg-PA 
ENSEBLP00000007115.1	 CG31687-PB 
ENSEBLP00000007116.1	 Slob-PI 
ENSEBLP00000007117.1	  
ENSEBLP00000007118.1	  
ENSEBLP00000007119.1	 Polr2I-PC 
ENSEBLP00000007121.1	 mEFG1-PA 
ENSEBLP00000007122.1	 Usp15-31-PA 
ENSEBLP00000007124.1	  
ENSEBLP00000007123.1	 retn-PA 
ENSEBLP00000007125.1	  
ENSEBLP00000007126.1	 CG2063-PA 
ENSEBLP00000007127.1	 Mal-A2-PA 
ENSEBLP00000007128.1	 CG3604-PB 
ENSEBLP00000007129.1	 Slob-PB 
ENSEBLP00000007130.1	  
ENSEBLP00000007131.1	 CG31908-PC 
ENSEBLP00000007132.1	 CG2063-PA 
ENSEBLP00000007133.1	 CG1941-PD 
ENSEBLP00000007134.1	 Mob4-PA 
ENSEBLP00000007135.1	 CG30291-PA 
ENSEBLP00000007136.1	 mEFG1-PA 
ENSEBLP00000007137.1	  
ENSEBLP00000007139.1	 Usp15-31-PC 
ENSEBLP00000007138.1	 CG2063-PA 
ENSEBLP00000007140.1	 CG5726-PA 
ENSEBLP00000007141.1	 Slob-PK 
ENSEBLP00000007142.1	 CG31908-PC 
ENSEBLP00000007143.1	  
ENSEBLP00000007144.1	 CG1941-PD 
ENSEBLP00000007145.1	 CG11263-PB 
ENSEBLP00000007146.1	 ttk-PH 
ENSEBLP00000007147.1	 CG3594-PA 
ENSEBLP00000007148.1	 CG18659-PD 
ENSEBLP00000007149.1	 Spt-I-PC 
ENSEBLP00000007151.1	 ttk-PH 
ENSEBLP00000007150.1	 CG6287-PA 
ENSEBLP00000007152.1	  
ENSEBLP00000007153.1	 ND-PDSW-PB 
ENSEBLP00000007155.1	 Spt-I-PC 
ENSEBLP00000007156.1	 CG13551-PB 
ENSEBLP00000007157.1	  
ENSEBLP00000007158.1	 Tmem214-PF 
ENSEBLP00000007159.1	 RabGGTa-PA 
ENSEBLP00000007160.1	  
ENSEBLP00000007161.1	 Spt-I-PC 
ENSEBLP00000007162.1	 ND-PDSW-PB 
ENSEBLP00000007163.1	 ttk-PH 
ENSEBLP00000007164.1	 CG14478-PD 
ENSEBLP00000007166.1	 CG2906-PD 
ENSEBLP00000007165.1	 EcR-PG 
ENSEBLP00000007167.1	 Cyp4aa1-PB 
ENSEBLP00000007169.1	 RabGGTa-PA 
ENSEBLP00000007170.1	 CG43707-PE 
ENSEBLP00000007171.1	 Spt-I-PC 
ENSEBLP00000007172.1	 EcR-PE 
ENSEBLP00000007173.1	  
ENSEBLP00000007174.1	  
ENSEBLP00000007175.1	 Cyp4aa1-PB 
ENSEBLP00000007176.1	  
ENSEBLP00000007177.1	 Spt-I-PC 
ENSEBLP00000007178.1	 Trim9-PB 
ENSEBLP00000007179.1	 CG13220-PB 
ENSEBLP00000007180.1	  
ENSEBLP00000007183.1	 EcR-PG 
ENSEBLP00000007181.1	  
ENSEBLP00000007182.1	 brp-PK 
ENSEBLP00000007184.1	 Cpr56F-PA 
ENSEBLP00000007185.1	 Or42a-PA 
ENSEBLP00000007186.1	  
ENSEBLP00000007187.1	 Cyp4aa1-PB 
ENSEBLP00000007188.1	 CG43707-PE 
